,agency_name,agency_type_name,county_name,division_name,latitude,longitude,nibrs,ori,region_desc,region_name,state_abbr,state_name
12135,Tuscarawas County Sheriff's Office,County,TUSCARAWAS,East North Central,40.455643,-81.405685,1.0,OH0790000,Region II,Midwest,OH,Ohio
12136,Westerville Police Department,City,DELAWARE; FRANKLIN,East North Central,40.12551,-82.93147,1.0,OH0251000,Region II,Midwest,OH,Ohio
12137,Boston Heights Police Department,City,SUMMIT,East North Central,41.24064,-81.45192,1.0,OH0771500,Region II,Midwest,OH,Ohio
12138,Clark County Park District,Other,CLARK,East North Central,39.917032,-83.783676,0.0,OH0121600,Region II,Midwest,OH,Ohio
12139,New Paris Police Department,City,PREBLE,East North Central,39.737906,-84.645358,0.0,OH0680700,Region II,Midwest,OH,Ohio
12140,Cleveland State University,University or College,CUYAHOGA,East North Central,41.505123,-81.67289,0.0,OH0186100,Region II,Midwest,OH,Ohio
12141,Blanchester Police Department,City,CLINTON,East North Central,39.29513,-83.98548,1.0,OH0140100,Region II,Midwest,OH,Ohio
12142,Mount Eaton Police Department,City,WAYNE,East North Central,40.829661,-81.887194,0.0,OH0851200,Region II,Midwest,OH,Ohio
12143,Mariemont Police Department,City,HAMILTON,East North Central,39.14463,-84.37283,0.0,OH0312200,Region II,Midwest,OH,Ohio
12144,Lake Waynoka Rangers,Other,BROWN,East North Central,38.92572,-83.7843,0.0,OH008130X,Region II,Midwest,OH,Ohio
12145,Jefferson Police Department,City,ASHTABULA,East North Central,41.73832,-80.764946,0.0,OH0040600,Region II,Midwest,OH,Ohio
12146,Milford Police Department,City,HAMILTON; CLERMONT,East North Central,39.177258,-84.28666,1.0,OH0130300,Region II,Midwest,OH,Ohio
12147,Hubbard Police Department,City,TRUMBULL,East North Central,41.15857,-80.57304,1.0,OH0780200,Region II,Midwest,OH,Ohio
12148,Continental Police Department,City,PUTNAM,East North Central,41.024533,-84.129879,0.0,OH0690500,Region II,Midwest,OH,Ohio
